岗位,公司,城市,薪资
爬虫开发工程师,21世纪报系,广州-越秀区,1-2万/月
Python开发工程师,东莞先知大数据有限公司,东莞-东城区,0.8-1.5万/月
数据工程师 Data Operations Developer,聚物腾云物联网（上海）有限公司,上海-长宁区,1-1.5万/月
爬虫开发工程师实习生,南京擎盾信息科技有限公司,南京-雨花台区,4-8千/月
爬虫开发工程师,任子行网络技术股份有限公司,深圳,1.5-2万/月
python爬虫工程师,东莞市汇兴信息咨询有限公司,东莞-南城区,0.8-1.5万/月
Python开发工程师,安徽百舟互娱网络股份有限公司,铜陵,6-8千/月
爬虫工程师,厦门黑谷网络科技有限公司,厦门-湖里区,1.5-2万/月
python爬虫工程师,东莞汇邦软件科技有限公司,东莞-南城区,0.8-1.5万/月
java爬虫工程师,上海人科数据科技有限公司,上海-长宁区,1.5-2万/月
爬虫工程师,深圳妮姬网络科技有限公司,深圳-南山区,0.6-1.5万/月
Java爬虫工程师,元知智慧建设科技有限公司,北京-朝阳区,2-3.5万/月
爬虫开发工程师,广州米果电子商务有限公司,广州-白云区,0.7-1万/月
爬虫工程师,成都银泰商务服务有限公司,成都-高新区,0.8-1.5万/月
爬虫开发工程师,长沙天地宽网络科技有限公司,长沙,1-1.5万/月
爬虫开发工程师,烟台星商电子商务有限公司,烟台,5-9千/月
Java爬虫/python爬虫开发工程师,上海新致软件股份有限公司,上海-浦东新区,2-2.5万/月
应用开发、算法研究,江苏省联合征信有限公司,南京-建邺区,150元/天
数据爬虫岗,浙江泰隆商业银行股份有限公司,杭州-上城区,1.5-2万/月
Web后端开发工程师,GroupM群邑（上海）广告有限公司,上海-静安区,1.5-2万/月
python爬虫工程师,成都龙捷科技有限公司,深圳-南山区,0.7-1.1万/月
爬虫工程师,扬州达福智能科技有限公司,南京-建邺区,0.6-1.1万/月
爬虫开发工程师,深圳市阿卡索资讯股份有限公司,深圳-罗湖区,1.5-2万/月
爬虫工程师,杭州蚊子会创业服务有限公司,杭州-余杭区,1.2-2万/月
爬虫开发工程师,奕帆信息科技（深圳）有限公司,深圳-龙华区,1-1.5万/月
python开发工程师,深圳市通拓科技有限公司,深圳-龙岗区,1.5-2万/月
爬虫开发工程师,上海同界数据科技股份有限公司,上海-静安区,1-1.5万/月
爬虫脚本工程师,上海瑟尚网络科技有限公司,上海-普陀区,1.5-2万/月
爬虫开发助理工程师,福建恒安集团有限公司,泉州,4-6千/月
爬虫运维工程师,湖南星汉数智科技有限公司,长沙-岳麓区,6-8千/月
python爬虫工程师,四川电科网安科技有限公司,成都-双流区,1.3-1.8万/月
爬虫开发工程师,江苏昊视科技发展有限公司,常州-新北区,0.7-1.2万/月
数据分析师（爬虫工程师）,义乌中国小商品城大数据有限公司,义乌,1.5-2万/月
Python爬虫,杭州策软科技有限公司,杭州,1.1-1.8万/月
爬虫工程师,广东盛坤黄金投资有限公司,广州,6-8千/月
数据采集/网络爬虫工程师—python,湖南九浪网络科技有限公司,长沙-开福区,0.8-2万/月
某外资500强- Python后端开发工程师,江苏超正科技有限公司,上海-嘉定区,1.4-1.7万/月
爬虫开发工程师,北京美住美宿科技有限公司,北京-朝阳区,2-2.5万/月
python爬虫工程师,深圳数位传媒科技有限公司,深圳-南山区,1.5-2万/月
爬虫开发工程师,重庆德实财税咨询有限公司,重庆-沙坪坝区,4.5-6千/月
爬虫工程师-核心研发平台-合肥,科大讯飞股份有限公司,合肥-蜀山区,5-7千/月
高级爬虫开发工程师,亿翰智库,上海-静安区,1.2-1.5万/月
爬虫开发工程师,苏州遇见信息科技有限公司,苏州-工业园区,6-8千/月
爬虫开发工程师,翼果（深圳）科技有限公司,深圳-南山区,1-2万/月
软件测试工程师,中电积至（海南）信息技术有限公司北京分公司,北京-西城区,1-1.5万/月
高级Python工程师,广东中思拓大数据研究院有限公司,广州-天河区,2.5-3万/月
爬虫工程师,重庆空间视创科技有限公司,重庆-渝北区,6-9千/月
爬虫开发工程师,北京三六九数动科技有限公司,北京-朝阳区,1.5-2.5万/月
高级爬虫工程师,得物App,上海-杨浦区,2-4万/月
高级爬虫工程师,深圳市财盈通科技有限公司,深圳-龙岗区,1.5-2.5万/月
网络爬虫工程师,北京汉邦年代文化科技有限公司,北京-海淀区,1-2万/月
爬虫开发工程师,广州小鹰科技有限公司,广州-天河区,0.8-1.2万/月
python爬虫工程师,深圳市卖家成长网络科技有限公司,深圳-龙华区,1.5-2万/月
python爬虫工程师,深圳市英驰贸易科技有限公司,深圳-龙华区,1.5-2万/月
爬虫开发工程师,依通（北京）科技有限公司,北京-丰台区,0.8-1万/月
Python开发/爬虫工程师,深圳市优伟同创科技有限公司,深圳-南山区,2-4万/月
爬虫开发工程师,成都与梦同行科技有限公司,上海-徐汇区,0.7-1.3万/月
爬虫工程师实习生,广东赢商网数据服务股份有限公司,广州-天河区,3-3千/月
Python工程师（数据采集）,南京云帐房网络科技有限公司北京分公司,南京-雨花台区,1-1.5万/月
爬虫开发工程师,坤金聚宝（深圳）科技有限公司,深圳-罗湖区,1.2-1.8万/月
高级爬虫工程师（DX22wjj）,北京东方国信科技股份有限公司,成都,1.3-1.5万/月
Python开发工程师(J11786),邦道科技有限公司,无锡-无锡新区,0.8-1万/月
Python爬虫开发工程师,广州市华谊通用科技有限公司,广州-天河区,2-2.5万/月
高级爬虫开发工程师,上海瑛太莱信息科技有限公司,上海,1.5-3万/月
